resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,nature
resnet50,bar,nature
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,none
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,none
resnet18,bar,none
resnet50,bar,none
keras,bar,clubbing
resnet18,bar,none
resnet50,bar,nature
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,museums
resnet50,bar,none
keras,bar,none
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,beach
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,none
resnet50,bar,none
keras,bar,clubbing
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,museums
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,bar
resnet50,bar,none
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,beach
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,beach
resnet50,bar,nature
keras,bar,beach
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,beach
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,nature
resnet50,bar,nature
keras,bar,bar
resnet18,bar,none
resnet50,bar,nature
keras,bar,none
resnet18,bar,shopping
resnet50,bar,none
keras,bar,none
resnet18,bar,bar
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,museums
resnet50,bar,museums
keras,bar,none
resnet18,bar,none
resnet50,bar,none
keras,bar,beach
resnet18,bar,none
resnet50,bar,none
keras,bar,none
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,museums
resnet50,bar,none
keras,bar,bar
resnet18,bar,beach
resnet50,bar,beach
keras,bar,clubbing
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,beach
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,nature
resnet50,bar,nature
keras,bar,beach
resnet18,bar,nature
resnet50,bar,none
keras,bar,none
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,nature
resnet50,bar,nature
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,beach
resnet18,bar,bar
resnet50,bar,bar
keras,bar,clubbing
resnet18,bar,none
resnet50,bar,none
keras,bar,none
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,museums
resnet50,bar,none
keras,bar,none
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,none
resnet50,bar,bar
keras,bar,shopping
resnet18,bar,beach
resnet50,bar,beach
keras,bar,bar
resnet18,bar,none
resnet50,bar,none
keras,bar,none
resnet18,bar,none
resnet50,bar,none
keras,bar,clubbing
resnet18,bar,none
resnet50,bar,none
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,beach
resnet50,bar,bar
keras,bar,none
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,clubbing
resnet50,bar,clubbing
keras,bar,clubbing
resnet18,bar,beach
resnet50,bar,beach
keras,bar,beach
resnet18,bar,none
resnet50,bar,bar
keras,bar,bar
resnet18,bar,museums
resnet50,bar,museums
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
resnet18,bar,nature
resnet50,bar,bar
keras,bar,none
resnet18,bar,beach
resnet50,bar,beach
keras,bar,bar
resnet18,bar,bar
resnet50,bar,bar
keras,bar,bar
