resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,nature
resnet50,none,nature
keras,none,clubbing
resnet18,none,none
resnet50,none,none
keras,none,nature
resnet18,none,none
resnet50,none,none
keras,none,nature
resnet18,none,beach
resnet50,none,none
keras,none,clubbing
resnet18,none,shopping
resnet50,none,shopping
keras,none,bar
resnet18,none,nature
resnet50,none,nature
keras,none,nature
resnet18,none,nature
resnet50,none,nature
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,nature
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,nature
resnet18,none,shopping
resnet50,none,shopping
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,clubbing
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,museums
resnet50,none,museums
keras,none,none
resnet18,none,beach
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,bar
resnet18,none,none
resnet50,none,beach
keras,none,clubbing
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,museums
resnet50,none,shopping
keras,none,bar
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,bar
resnet18,none,nature
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,beach
resnet50,none,none
keras,none,beach
resnet18,none,nature
resnet50,none,nature
keras,none,nature
resnet18,none,shopping
resnet50,none,shopping
keras,none,none
resnet18,none,shopping
resnet50,none,shopping
keras,none,clubbing
resnet18,none,none
resnet50,none,none
keras,none,bar
resnet18,none,none
resnet50,none,shopping
keras,none,bar
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,nature
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,nature
resnet50,none,nature
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,clubbing
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,beach
resnet50,none,beach
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,beach
resnet50,none,none
keras,none,beach
resnet18,none,museums
resnet50,none,museums
keras,none,museums
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,beach
resnet18,none,none
resnet50,none,none
keras,none,nature
resnet18,none,shopping
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,none,none
resnet50,none,none
keras,none,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,museums
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,clubbing
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,beach
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,bar
resnet18,shopping,none
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,nature
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,nature
resnet18,shopping,none
resnet50,shopping,shopping
keras,shopping,museums
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,clubbing
resnet18,shopping,none
resnet50,shopping,shopping
keras,shopping,bar
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,shopping
keras,shopping,beach
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,shopping
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,museums
resnet18,shopping,none
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,beach
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,museums
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,museums
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,beach
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,shopping
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,none
resnet50,shopping,none
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,none
resnet18,shopping,shopping
resnet50,shopping,shopping
keras,shopping,none
resnet18,nature,nature
resnet50,nature,none
keras,nature,beach
resnet18,nature,nature
resnet50,nature,nature
keras,nature,nature
resnet18,nature,nature
resnet50,nature,nature
keras,nature,beach
resnet18,nature,nature
resnet50,nature,nature
keras,nature,bar
resnet18,nature,none
resnet50,nature,none
keras,nature,nature
resnet18,nature,nature
resnet50,nature,nature
keras,nature,clubbing
